Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
469357,1,469362,,1/22/2009 14:36,,460,1021855,13370,Jangwenyi,347833,,7/21/2015 14:19,1/29/2017 6:44,HTML Text Input allow only Numeric input,<javascript><jquery><html><html5>,51,14,147,,12/12/2012 4:47
11832914,1,11832950,,8/6/2012 17:17,,1233,1022883,360705,,1438029,,1/17/2017 21:25,2/23/2017 23:55,Round to at most 2 decimal places,<javascript><decimal><rounding><decimal-point>,38,2,222,,
466345,1,466376,,1/21/2009 18:00,,931,1031856,12870,Oli,1433392,Ben Blank,6/11/2016 15:33,2/28/2017 17:37,Converting string into datetime,<python><datetime>,14,1,194,,
166221,1,,,10/3/2008 10:22,,2181,1033851,2138,Sergio del Amo,5371821,Chris Marasti-Georg,1/26/2016 8:31,2/5/2017 2:50,How can I upload files asynchronously?,<javascript><jquery><ajax><asynchronous><upload>,25,8,1276,,
224732,1,,,10/22/2008 7:14,,576,1034611,,Boerseun,832136,Nigel Campbell,2/5/2013 21:50,1/2/2017 11:40,SQL update from one Table to another based on a ID match,<sql><sql-server><select><join><sql-update>,16,0,181,,
3296644,1,3296701,,7/21/2010 5:57,,438,1034884,386263,,1922144,,11/29/2014 11:30,2/23/2017 15:31,Hiding the scrollbar on an HTML page,<css><browser><scrollbar>,17,3,119,,
6797984,1,6797990,,7/23/2011 3:08,,940,1035513,858922,,541136,,8/24/2015 1:17,2/28/2017 22:49,How to convert string to lowercase in Python?,<python><string><unicode><uppercase><lowercase>,6,4,84,,
2757396,1,2757401,,5/3/2010 10:31,,514,1038229,213269,,213269,,5/3/2010 10:41,1/13/2017 18:38,How do I comment out a block of tags in XML?,<xml><comments>,6,2,70,,
9529078,1,9530204,,3/2/2012 6:36,,398,1044748,1241571,,508666,,5/24/2015 1:59,1/11/2017 12:40,How do I use 'git reset --hard HEAD' to revert to a previous commit?,<git><head><git-reset><git-revert>,2,3,117,7/22/2014 3:33,
1014861,1,1014958,,6/18/2009 19:59,,1890,1047437,123415,,123415,,11/11/2016 23:15,2/20/2017 18:37,Is there a CSS parent selector?,<css><css-selectors>,25,14,314,,
589575,1,,,2/26/2009 7:59,,566,1048357,2796,J&#233;r&#244;me,15168,Jonathan Leffler,5/6/2016 18:09,5/6/2016 18:09,"What does the C++ standard state the size of int, long type to be?",<c++><c++-faq>,24,11,293,,
3003145,1,,,6/9/2010 4:50,,768,1048645,356170,,1306684,,2/23/2016 16:39,12/29/2016 15:18,How to get the client IP address in PHP?,<php><environment-variables><ip-address>,21,0,208,,
94591,1,94608,,9/18/2008 17:18,,1003,1048750,15054,GillBates,3184087,JBB,10/5/2016 1:36,2/6/2017 22:21,What is the maximum value for an int32?,<integer>,39,12,154,,
53513,1,53522,,9/10/2008 6:20,,1835,1049429,4872,Ray Vega,100297,,4/18/2014 9:42,2/3/2017 18:34,Best way to check if a list is empty,<python><list>,26,3,304,,
9477906,1,9478035,,2/28/2012 7:20,,76,1055595,989290,,1862812,,9/22/2015 15:56,11/8/2015 2:40,"Password must be 8 characters including 1 uppercase letter, 1 special character, alphanumeric characters",<c#><regex>,8,10,24,,
153724,1,153785,,9/30/2008 16:01,,751,1060930,12149,,18160,Blair Conrad,12/29/2016 17:02,3/1/2017 8:00,How to round a number to n decimal places in Java,<java><decimal><rounding><digits>,26,1,213,,
2835559,1,2835672,,5/14/2010 15:54,,636,1066524,453712,,642572,,1/23/2017 8:57,1/23/2017 8:57,Parsing values from a JSON file using Python?,<python><json><parsing>,5,0,209,,
979975,1,979995,,6/11/2009 8:32,,615,1068394,120457,,31493,,8/12/2016 18:25,3/3/2017 13:40,How to get the value from the GET parameters?,<javascript><url>,40,3,192,,
1672338,1,1672349,,11/4/2009 8:13,,426,1069205,325418,,,,,11/3/2016 18:46,How to sleep for 5 seconds in Windows's Command Prompt? (or DOS),<windows><command-line><batch-file><sleep>,31,2,88,,
1128723,1,1128728,,7/15/2009 0:03,,1407,1070642,16534,,3453226,,8/28/2015 16:19,4/26/2016 15:11,How can I test if an array contains a certain value?,<java><arrays>,23,8,246,,
28098,1,28111,,8/26/2008 13:56,,396,1071769,2680,,63550,,2/2/2014 10:10,1/25/2017 6:36,ToString() equivalent in PHP,<php><string>,23,1,47,,
6159900,1,6159912,,5/28/2011 5:44,,542,1077707,419116,,2867928,,12/14/2015 18:43,1/1/2017 21:19,Correct way to write line to file in Python,<python><file-io>,8,2,116,,
159521,1,159537,,10/1/2008 20:22,,1023,1078478,17865,Yuvi,164901,michaelpryor,3/14/2010 20:24,2/21/2017 8:58,"Text editor to open big (giant, huge, large) text files",<windows><xml><editor><text-editor><large-files>,2,22,352,1/27/2012 1:47,1/22/2010 9:44
1575141,1,,,10/15/2009 21:18,,1225,1081123,190874,,1317805,,4/19/2015 17:10,2/14/2017 13:12,Make div 100% height of browser window,<html><css><height>,22,4,482,,
4216745,1,4216767,,11/18/2010 15:53,,536,1086601,123891,,2053228,,2/4/2016 4:33,2/9/2017 9:05,Java string to date conversion,<java><string><date><time><data-conversion>,13,4,209,,
472906,1,10380166,,1/23/2009 13:39,,1641,1087521,45603,Vulcan Eager,63550,Dale Ragan,1/9/2017 1:15,1/9/2017 1:22,How do I get a consistent byte representation of strings in C# without manually specifying an encoding?,<c#><.net><string>,35,29,387,,
1135245,1,1135251,,7/16/2009 3:23,,958,1088164,84916,,445131,,8/11/2013 20:54,2/21/2017 10:04,How to get a list of MySQL user accounts,<mysql><mysql5>,13,0,173,,
60174,1,60496,,9/12/2008 23:55,,2785,1088763,428190,Andrew G. Johnson,707111,user456814,10/1/2016 8:08,2/8/2017 14:25,How can I prevent SQL injection in PHP?,<php><mysql><sql><security><sql-injection>,28,0,2909,,11/5/2012 16:18
995183,1,995193,,6/15/2009 9:22,,711,1088921,45261,,576831,,9/3/2011 22:13,9/22/2016 9:58,How to allow only numeric (0-9) in HTML  inputbox using jQuery?,<jquery><html><validation><numeric>,60,15,284,,1/19/2012 0:17
1960240,1,1960245,,12/25/2009 1:31,,569,1089140,25645,,451518,,7/28/2014 10:19,12/21/2016 9:22,jQuery AJAX submit form,<jquery><ajax><submit><form-submit><html-form>,14,1,236,,
858572,1,858590,,5/13/2009 15:12,,473,1089303,93796,,2040375,,11/8/2014 13:27,2/13/2017 20:37,How to make a new List in Java,<java><list><collections>,19,6,78,,
2068344,1,2068371,,1/14/2010 23:34,,1571,1094426,241654,,87015,,4/27/2015 13:47,2/16/2017 5:59,How do I get a YouTube video thumbnail from the YouTube API?,<php><curl><youtube><youtube-api><youtube-data-api>,20,0,896,,
5016505,1,5016587,,2/16/2011 12:38,,407,1095956,404395,,520567,,6/1/2015 18:09,3/24/2016 14:18,MySQL: Grant **all** privileges on database,<mysql><mariadb><mysql-error-1142>,9,6,163,,
215497,1,215505,,10/18/2008 19:53,,1783,1096399,625,,832230,,8/7/2016 2:49,1/14/2017 20:32,"In Java, difference between default, public, protected, and private",<java><private><public><protected><access-modifiers>,22,10,815,,
332872,1,332888,,12/2/2008 2:37,,1790,1097519,9021,nickf,2619912,,10/31/2014 13:13,1/26/2017 21:31,Encode URL in JavaScript?,<javascript><url><encoding>,12,3,402,,
1628088,1,1628334,,10/27/2009 0:27,,1601,1104262,128983,,1264804,,2/19/2016 18:18,2/23/2017 18:15,Reset local repository branch to be just like remote repository HEAD,<git><undo>,15,3,568,,
400212,1,,,12/30/2008 13:09,,2025,1107007,4264,Dawkins,123671,,1/12/2015 20:40,1/18/2017 13:56,How do I copy to the clipboard in JavaScript?,<javascript><clipboard><copy-paste>,36,7,640,,
630453,1,630475,,3/10/2009 14:25,,3407,1111127,19268,alex,124119,Brian R. Bondy,7/13/2013 23:36,2/14/2017 6:55,PUT vs POST in REST,<http><rest><post><put>,28,8,1570,,
3087975,1,3088012,,6/21/2010 19:45,,1124,1111201,246114,,2680216,,4/12/2015 22:57,1/19/2017 11:17,How can I make the cursor a hand when a user hovers over a list item?,<css>,17,3,121,,
966225,1,966234,,6/8/2009 18:24,,749,1123133,388548,,2476755,,4/20/2015 2:52,1/3/2017 1:07,How can I create a two dimensional array in JavaScript?,<javascript><arrays><multidimensional-array>,33,4,167,,
2706500,1,2706537,,4/24/2010 23:09,,1002,1124615,434051,,4322,,3/9/2015 21:26,2/27/2017 8:46,How do I generate a random int number in C#?,<c#><random>,21,1,96,,
2594829,1,2594855,,4/7/2010 18:17,,770,1126148,279776,,419956,,5/8/2015 7:23,2/22/2017 15:02,Finding duplicate values in a SQL table,<sql><duplicates>,22,1,266,,
7352493,1,7385128,,9/8/2011 18:02,,779,1127217,834063,,834063,,2/18/2013 19:19,1/11/2017 8:19,Failed to load the JNI shared Library (JDK),<eclipse><jni><java>,37,9,160,,12/1/2013 9:17
826782,1,,,5/5/2009 20:29,,3518,1131540,,anon,1063716,anon,7/22/2016 15:45,3/2/2017 17:34,How to disable text selection highlighting using CSS?,<css><cross-browser><highlighting><textselection>,33,8,1013,,
2619584,1,,,4/12/2010 2:37,,314,1133280,312402,,63550,,9/6/2015 11:18,9/17/2016 14:36,How to set java_home on Windows 7?,<java><windows-7><java-home><system-variable>,16,7,86,,
2389361,1,2389423,,3/5/2010 19:24,,2345,1133472,107277,,3190005,,10/28/2016 16:44,2/16/2017 21:54,Undo a Git merge that hasn't been pushed yet,<git><undo><git-merge>,24,5,763,,
26551,1,92057,,8/25/2008 18:14,,717,1136300,730,Keng,2642204,Keng,10/9/2014 13:36,11/15/2016 12:49,How to pass command line parameters to a batch file?,<windows><batch-file><command-line><cmd>,12,2,163,,
8313941,1,8313994,,11/29/2011 16:08,,10,1139286,942767,,63550,,6/30/2014 17:46,6/30/2014 17:47,"Match the path of a URL, minus the filename extension",<regex><nginx>,11,1,4,,
627435,1,627453,,3/9/2009 18:16,,726,1140204,51816,Joan Venge,920371,,12/16/2014 22:22,2/15/2017 13:09,How to remove an element from a list by index in Python?,<python><list>,10,7,111,,
208105,1,208106,,10/16/2008 10:57,,3614,1143073,27929,johnstok,63550,,2/19/2017 8:59,2/19/2017 8:59,How do I remove a property from a JavaScript object?,<javascript><javascript-objects><object-properties>,18,1,646,,
171027,1,171049,,10/4/2008 21:33,,1700,1145602,5441,Darryl Hein,1709587,Darryl Hein,12/30/2015 19:39,10/14/2016 5:18,Add table row in jQuery,<javascript><jquery><html-table>,27,3,401,,
7172784,1,7173011,,8/24/2011 8:51,,1293,1147288,453596,,5136131,,9/20/2016 18:46,2/14/2017 21:40,How to POST JSON data with Curl from Terminal/Commandline to Test Spring REST?,<json><rest><spring-mvc><curl>,13,2,381,,
273192,1,273227,,11/7/2008 18:56,,1950,1150232,13055,Parand,2062965,Parand,2/16/2017 14:38,2/16/2017 14:38,How to check if a directory exists and create it if necessary?,<python><exception><directory>,21,5,498,,
61212,1,64966,,9/14/2008 9:06,,4323,1150742,4883,Tim,775138,,2/10/2017 23:48,3/2/2017 20:09,How to remove local (untracked) files from the current Git working tree?,<git><branch><git-branch>,27,4,1115,,
18153234,1,18153551,,8/9/2013 18:24,,717,1157333,303477,,3576214,,4/18/2016 11:32,1/11/2017 14:05,Center a column using Twitter Bootstrap 3,<css><twitter-bootstrap><twitter-bootstrap-3><centering>,22,0,282,,
918886,1,918931,,5/28/2009 2:03,,1134,1159411,45654,,156060,,5/4/2016 23:55,1/24/2017 2:33,How do I split a string on a delimiter in Bash?,<bash><shell><scripting>,31,4,352,,
273159,1,273188,,11/7/2008 18:48,,334,1163497,16794,Jason,1563422,,5/17/2013 6:21,1/4/2017 10:11,How to determine if a port is open on a Windows server?,<windows-server-2003><port><ping>,15,2,97,,
455612,1,,,1/18/2009 18:16,,709,1174053,,kevin,2411320,Gareth,2/10/2016 2:13,12/31/2016 10:51,Limiting floats to two decimal points,<python><floating-point><precision>,14,8,160,,
3390396,1,3390426,,8/2/2010 17:53,,1381,1175752,328397,,63550,,11/23/2014 13:29,3/3/2017 19:37,"How to check for ""undefined"" in JavaScript?",<javascript><undefined>,16,6,397,10/10/2014 13:59,
1027354,1,1027367,,6/22/2009 13:57,,1479,1178228,38172,,35349,,12/30/2016 16:11,2/23/2017 1:30,Need an unordered list without any bullets,<html><css>,19,0,139,,
122102,1,122704,,9/23/2008 16:26,,3514,1198017,12694,,4390133,JasonBunting,2/24/2017 14:25,2/24/2017 14:25,What is the most efficient way to deep clone an object in JavaScript?,<javascript><object><clone>,46,11,1068,,5/6/2013 20:45
1519006,1,1519032,,10/5/2009 9:21,,2158,1199125,109305,,109305,,4/26/2016 10:45,2/15/2017 6:57,How do you create a remote Git branch?,<git><branch><git-branch>,16,2,865,,
613183,1,613218,,3/5/2009 0:49,,2074,1199814,2786,FKCoder,603977,FKCoder,7/22/2014 3:04,2/23/2017 5:55,Sort a Python dictionary by value,<python><sorting><dictionary>,35,5,726,,
1338728,1,1338744,,8/27/2009 3:39,,2020,1204689,128983,,,user456814,10/16/2015 4:34,3/1/2017 15:15,Delete commits from a branch in Git,<git><git-rebase>,21,4,787,,
17666249,1,17666279,,7/16/2013 0:43,,702,1207197,1915046,,63550,,11/29/2014 9:31,3/1/2017 10:55,How to import an SQL file using the command line in MySQL?,<mysql><sql><command-line><import>,28,1,267,,
116292,1,116345,,9/22/2008 17:35,,48,1208697,20603,Brayn,63550,Marc Gear,6/3/2011 11:53,9/30/2011 19:22,What is the best IDE for PHP?,<php><ide>,40,0,209,6/8/2011 13:40,8/1/2010 0:13
231767,1,231855,,10/23/2008 22:21,,6084,1210830,18300,Alex. S.,1063716,Scott Dorman,2/13/2017 8:32,3/1/2017 13:36,"What does the ""yield"" keyword do in Python?",<python><iterator><generator><yield><coroutine>,32,0,3850,,
585945,1,585965,,2/25/2009 13:15,,772,1215053,3241,kristof,483779,,11/24/2016 2:36,1/15/2017 19:59,How to align content of a div to the bottom?,<css><vertical-alignment>,19,0,140,,
3518002,1,3518011,,8/19/2010 1:10,,703,1215721,193251,,1806780,,8/10/2015 7:38,9/6/2016 22:59,How can I set the default value for an HTML <select> element?,<html><html-select>,15,1,75,,
40480,1,,,9/2/2008 20:14,,4035,1217540,4315,,2991525,user4642421,5/7/2016 10:47,2/24/2017 10:13,"Is Java ""pass-by-reference"" or ""pass-by-value""?",<java><methods><parameter-passing><pass-by-reference><pass-by-value>,75,23,1822,,9/14/2012 18:22
3029422,1,3029434,,6/12/2010 17:00,,741,1220514,103264,,2756409,,5/11/2016 13:58,2/21/2017 8:01,How do I auto-resize an image to fit a div container,<html><css><image><autoresize>,25,1,209,,
409784,1,409795,,1/3/2009 20:39,,1109,1220749,12149,,474189,,3/19/2015 11:40,12/5/2016 20:41,What's the simplest way to print a Java array?,<java><arrays><printing>,24,5,249,,
510348,1,,,2/4/2009 7:04,,1248,1223789,46646,,243587,Tony Meyer,5/4/2014 22:32,2/28/2017 19:45,How can I make a time delay in Python?,<python><sleep><timedelay>,5,1,134,,
218384,1,218510,,10/20/2008 13:18,,211,1230045,29182,Ziggy,2193767,Rich B,5/26/2016 16:15,1/21/2017 10:58,"What is a NullPointerException, and how do I fix it?",<java><nullpointerexception>,12,0,347,,
1150163,1,7372377,,7/19/2009 15:51,,599,1237706,114298,,96729,,8/26/2014 14:22,1/7/2017 18:52,Stretch and scale a CSS image in the background - with CSS only,<css><background>,16,9,155,,
1056728,1,1056730,,6/29/2009 5:44,,1116,1242184,65670,,63550,,4/24/2015 18:30,2/6/2017 7:22,Where can I find documentation on formatting a date in JavaScript?,<javascript><datetime><date>,33,6,343,,2/4/2013 10:48
415511,1,415519,,1/6/2009 4:54,,1315,1246954,46646,,616460,S.Lott,5/16/2015 14:30,12/14/2016 6:33,How to get current time in Python,<python><datetime><time>,21,0,214,,
201101,1,201116,,10/14/2008 13:13,,630,1255229,17693,Matt,1505939,,4/23/2016 12:34,2/15/2017 16:28,How to initialize all members of an array to the same value,<c><arrays><initialization><array-initialize>,17,4,253,,
2610497,1,2610741,,4/9/2010 19:54,,2944,1257702,160173,,160173,,1/17/2017 15:36,2/13/2017 8:19,Change an HTML5 input's placeholder color with CSS,<html><css><html5><placeholder><html-input>,27,5,876,,10/29/2013 17:18
1911109,1,1911126,,12/15/2009 23:06,,1343,1259023,207419,,1063716,,9/9/2016 15:28,9/9/2016 15:28,How to clone a specific Git branch?,<git><git-branch><git-clone>,7,2,446,3/4/2014 22:28,
951021,1,39914235,,6/4/2009 14:41,,1017,1267202,26004,,664833,,9/6/2016 7:18,1/10/2017 2:09,What is the JavaScript version of sleep()?,<javascript><sleep>,60,30,212,,10/15/2013 12:40
638975,1,638980,,3/12/2009 14:48,,1805,1277474,1288,Bill the Lizard,6862601,,1/25/2017 5:37,1/25/2017 5:37,How do I tell if a regular file does not exist in Bash?,<bash><file-io><scripting>,16,7,306,,
867916,1,867981,,5/15/2009 10:30,,1142,1277559,79980,,1946501,,1/22/2016 20:19,11/21/2016 12:27,Creating a div element in jQuery,<javascript><jquery><html><append><jquery-append>,25,2,287,,
5135019,1,5135033,,2/27/2011 18:30,,523,1277770,625072,,3541881,,4/1/2016 22:06,4/1/2016 22:06,CSS opacity only to background color not the text on it?,<css><opacity>,11,3,108,12/21/2014 7:42,
1232040,1,1232046,,8/5/2009 9:08,,1960,1278122,149738,,63550,,11/11/2015 19:22,3/3/2017 8:02,How do I empty an array in JavaScript?,<javascript><arrays>,23,2,403,,
470617,1,,,1/22/2009 20:09,,499,1281482,,Mike,993547,Kip,10/7/2016 8:50,1/26/2017 11:13,How to get the current date and time in PHP?,<php><datetime>,23,0,105,,
1602934,1,1602964,,10/21/2009 19:05,,1392,1281965,112850,,505893,,5/2/2013 6:45,3/1/2017 9:03,Check if a given key already exists in a dictionary,<python><dictionary>,14,5,215,,
6591213,1,6591218,,7/6/2011 3:20,,4812,1284152,338204,,63550,,3/4/2017 22:04,3/4/2017 22:14,How do I rename a local Git branch?,<git><git-branch>,19,0,711,,
309424,1,309448,,11/21/2008 16:47,,2498,1299197,16616,Johnny Maelstrom,102937,,7/16/2012 20:32,2/24/2017 19:28,Read/convert an InputStream to a String,<java><string><io><stream><inputstream>,50,3,712,,
10382929,1,11432195,,4/30/2012 11:28,,1130,1304027,898042,,540552,,10/11/2016 18:49,1/19/2017 15:59,How to fix java.lang.UnsupportedClassVersionError: Unsupported major.minor version,<java><jvm><incompatibility><unsupported-class-version>,39,7,288,,
1531093,1,4929629,,10/7/2009 11:39,,1242,1312052,96180,,63550,,1/10/2017 19:59,2/27/2017 7:19,How do I get the current date in JavaScript?,<javascript><date>,33,7,228,,
663171,1,663175,,3/19/2009 17:29,,1098,1312345,51816,Joan Venge,102937,SilentGhost,4/10/2015 16:25,12/30/2016 22:36,Is there a way to substring a string in Python?,<python><string>,13,0,174,,
194852,1,545672,,10/11/2008 23:49,,1094,1318172,27109,John,632293,Dana,11/23/2016 13:24,2/27/2017 4:03,Concatenate many rows into a single text string?,<sql><sql-server><string-concatenation><group-concat>,37,5,378,,
4088467,1,15903284,,11/3/2010 15:07,,595,1318547,246963,,63550,,12/13/2014 18:43,1/31/2017 8:10,Get the value in an input text box,<jquery><html><jquery-selectors><textinput>,7,1,113,,
1024847,1,1024851,,6/21/2009 22:07,,1332,1323047,90777,,3889449,,4/23/2015 14:57,2/23/2017 17:31,Add key to a dictionary in Python?,<python><dictionary>,14,0,225,,
252703,1,252711,,10/31/2008 5:55,,1825,1325657,15055,Claudiu,355230,,6/21/2016 0:35,2/11/2017 1:59,append vs. extend,<python><list><append><extend>,21,0,348,,
234075,1,,,10/24/2008 15:43,,827,1328125,7341,hmason,396458,Corin,10/12/2012 22:44,1/24/2013 22:31,What is your best programmer joke?,<language-agnostic>,459,1,3931,,10/24/2008 16:32
18082,1,1830844,,8/20/2008 14:21,,1880,1329139,29,mharen,2571493,,12/7/2016 3:57,2/23/2017 15:16,Validate decimal numbers in JavaScript - IsNumeric(),<javascript><validation><numbers>,46,10,675,,7/9/2013 23:10
1414365,1,1414366,,9/12/2009 5:21,,1536,1336910,104015,,1946501,,1/22/2016 20:19,6/14/2016 11:12,Disable/enable an input with jQuery?,<javascript><jquery><html-input>,8,2,234,,
46898,1,46908,,9/5/2008 21:12,,1767,1346933,4807,iMack,1253136,,12/28/2015 15:04,10/26/2016 11:05,How to efficiently iterate over each Entry in a Map?,<java><dictionary><iteration>,32,1,446,,
1053424,1,21429652,,6/27/2009 19:09,,799,1352902,51649,,63550,,12/27/2016 15:20,2/1/2017 7:33,How do I get PHP errors to display?,<php><error-reporting>,16,2,224,,
3552461,1,3552493,,8/23/2010 23:28,,715,1354444,4653,,1946501,,2/18/2016 9:07,3/4/2017 22:33,How to format a JavaScript date,<javascript><date><date-format><time-format>,33,2,116,,
81584,1,,,9/17/2008 9:53,,1031,1355831,15461,HG,16587,husayt,11/11/2014 1:57,4/25/2016 17:27,What IDE to use for Python?,<python><ide><editor>,1,0,1861,9/13/2016 19:45,3/22/2011 16:12
3207219,1,,,7/8/2010 19:31,,1741,1362106,385652,,355230,,2/6/2017 19:56,3/3/2017 15:18,How to list all files of a directory?,<python><directory>,21,1,438,,
2647867,1,2647888,,4/15/2010 18:12,,1125,1364735,281488,,4395287,,5/6/2016 5:18,3/5/2017 2:11,How to determine if variable is 'undefined' or 'null'?,<javascript><jquery><variables><null><undefined>,19,0,231,,
4907843,1,4907854,,2/5/2011 15:52,,1175,1366771,137100,,19068,,11/19/2015 11:05,2/28/2017 4:50,Open a URL in a new tab (and not a new window) using JavaScript,<javascript>,26,14,212,,
653714,1,,,3/17/2009 10:45,,1095,1368763,42829,Ferds,63550,Ferds,2/24/2016 19:45,1/27/2017 11:52,Insert results of a stored procedure into a temporary table,<sql><sql-server><sql-server-2005><tsql><stored-procedures>,24,4,329,,
85190,1,85206,,9/17/2008 16:44,,830,1373153,5074,Jay R.,707111,,3/22/2014 16:08,12/7/2016 17:48,How does the Java for each loop work?,<java><foreach><syntactic-sugar>,19,0,199,,
1643227,1,1643247,,10/29/2009 12:02,,1579,1380005,170231,,2202702,,10/23/2015 20:13,1/18/2017 21:56,Get selected text from a drop-down list (select box) using jQuery,<javascript><jquery><drop-down-menu><jquery-selectors>,26,3,242,,
52704,1,52719,,9/9/2008 19:33,,2920,1386261,4883,Tim,63550,,10/30/2016 14:53,2/9/2017 10:44,How do I discard unstaged changes in Git?,<git>,28,4,979,,
10873295,1,11289275,,6/3/2012 19:30,,367,1390431,1108484,,63550,,8/2/2013 20:04,2/20/2017 12:09,"Error message ""Forbidden You don't have permission to access / on this server""",<apache><configuration><httpd.conf><http-status-code-403>,29,8,162,,
369602,1,369608,,12/15/2008 20:28,,1457,1415816,11522,Ben,63550,,2/2/2014 2:01,9/22/2016 22:10,Delete an element from an array,<php><arrays>,21,5,243,,
806000,1,806189,,4/30/2009 9:00,,1708,1420297,87971,,20578,,4/18/2016 12:09,2/11/2017 8:00,How do I give text or an image a transparent background using CSS?,<html><css><opacity>,25,8,394,,
5590381,1,5591169,,4/8/2011 4:19,,833,1423675,490246,,2174742,,10/8/2014 6:22,2/23/2017 6:06,Easiest way to convert int to string in C++,<c++><string><int><type-conversion>,18,6,242,,
768431,1,,,4/20/2009 14:13,,681,1453500,93181,,1796345,,12/15/2014 19:25,1/28/2017 14:48,How to make a redirect in PHP?,<php><redirect>,17,6,191,,
406192,1,406208,,1/2/2009 6:42,,1299,1454412,44984,venkatachalam,2619912,,10/31/2014 13:16,10/14/2016 8:31,Get current URL in JavaScript?,<javascript><jquery><url><path>,27,5,313,,
6677035,1,6677069,,7/13/2011 9:49,,1444,1457194,735997,,2756409,,4/4/2016 12:38,2/27/2017 10:09,jQuery scroll to element,<jquery>,22,0,463,,
452859,1,,,1/17/2009 5:55,,942,1458699,,rits,497040,Jeff Atwood,10/1/2015 11:03,2/3/2017 8:40,Inserting multiple rows in a single SQL query?,<sql><sql-server><tsql><insert>,4,8,155,8/22/2013 14:30,
3437059,1,3437070,,8/9/2010 2:52,,1741,1460908,39677,,2891365,,9/10/2015 22:47,11/20/2016 18:58,Does Python have a string contains substring method?,<python><string><substring><contains>,10,3,197,,
1825585,1,1825807,,12/1/2009 11:30,,1501,1462740,35483,,35483,user195488,8/29/2016 10:41,3/4/2017 9:09,Determine installed PowerShell version,<powershell>,20,0,226,,
154059,1,154068,,9/30/2008 17:17,,1648,1469560,5619,Saul,69346,,5/15/2015 17:24,12/21/2016 9:09,How do you check for an empty string in JavaScript?,<javascript><null><is-empty>,34,1,310,,
176918,1,176921,,10/7/2008 1:39,,1423,1477629,25680,,562769,,1/15/2015 9:54,12/24/2016 14:24,Finding the index of an item given a list containing it in Python,<python><list>,17,0,261,,
351409,1,351421,,12/9/2008 0:20,,2147,1489174,8482,interstar,4642212,interstar,1/14/2017 1:55,2/22/2017 12:46,How to append something to an array?,<javascript><arrays><append>,20,0,218,,12/9/2008 0:23
